date,total,Trader,Traderp,Engineer,Engineerp,Teacher,Teacherp,Missionary,Missionaryp,Foreign Labor,ForeignLaborp,Otherp
1992,38788,2394,0.062,1002,0.026,1527,0.039,1832,0.047,11264,0.290,0.535
1993,88721,2258,0.025,942,0.011,1802,0.020,1856,0.021,60720,0.684,0.238
1994,153351,2388,0.016,885,0.006,1789,0.012,1706,0.011,125153,0.816,0.140
1995,214348,3080,0.014,1025,0.005,1781,0.008,1562,0.007,179192,0.836,0.129
1996,247490,2699,0.011,976,0.004,2001,0.008,1825,0.007,210993,0.853,0.117
1997,262188,3034,0.012,1093,0.004,2169,0.008,1741,0.007,222951,0.850,0.119
1998,290428,3377,0.012,1656,0.006,2544,0.009,1821,0.006,244489,0.842,0.126
1999,333171,3834,0.012,1890,0.006,2876,0.009,1848,0.006,280160,0.841,0.128
2000,382833,4049,0.011,2020,0.005,3812,0.010,1907,0.005,308122,0.805,0.164
2001,379048,4053,0.011,2269,0.006,4435,0.012,1925,0.005,287337,0.758,0.208
2002,395090,4987,0.013,3416,0.009,5976,0.015,2014,0.005,288878,0.731,0.227
2003,395366,4034,0.010,3145,0.008,5958,0.015,2048,0.005,283239,0.716,0.245
2004,413660,4207,0.010,3319,0.008,6831,0.017,1921,0.005,288898,0.698,0.262
2005,420526,3878,0.009,3117,0.007,6630,0.016,1800,0.004,297287,0.707,0.256
2006,419788,3197,0.008,2500,0.006,6185,0.015,1804,0.004,306418,0.730,0.237
2007,425110,3752,0.009,2407,0.006,6009,0.014,1775,0.004,321804,0.757,0.210
2008,410053,3474,0.008,2072,0.005,5655,0.014,1729,0.004,316177,0.771,0.197
2009,396514,3665,0.009,1920,0.005,6106,0.015,1613,0.004,306408,0.773,0.194
2010,411922,3782,0.009,2002,0.005,5923,0.014,1573,0.004,325583,0.790,0.177
2011,458930,4467,0.010,2148,0.005,6748,0.015,1687,0.004,367666,0.801,0.166
