Year	Race	Men	Women	Total															
2012	White	22906	12678	35584															
2011	White	23416	15360	38776															
2010	White	23249	12711	35960															
2009	White	25998	14414	40412															
2008	White	29205	16280	45485															
2007	White	30513	17140	47653															
2006	White	29508	16702	46210															
2005	White	30032	16824	46856															
2004	White	30284	16894	47178															
2003	White	30898	16966	47864															
2002	White	30677	17170	47847															
2001	White	31776	18054	49830															
2000	White	31793	17781	49574															
1999	White	31335	17407	48742															
2012	Native American	81	51	132															
2011	Native American	111	87	198														 	 
2010	Native American	121	78	199														 	 
2009	Native American	199	94	293														 	 
2008	Native American	159	125	284														 	 
2007	Native American	170	155	325														 	 
2006	Native American	163	141	304														 	 
2005	Native American	164	131	295														 	 
2004	Native American	163	150	313														 	 
2003	Native American	153	136	289														 	 
2002	Native American	195	112	307														 	 
2001	Native American	140	109	249														 	 
2000	Native American	144	149	293														 	 
1999	Native American	143	98	241														 	 
2012	Hispanic	969	681	1650															
2011	Hispanic	1128	760	1888															
2010	Hispanic	1167	745	1912															
2009	Hispanic	1248	840	2088															
2008	Hispanic	1391	956	2347															
2007	Hispanic	1401	1002	2403															
2006	Hispanic	1412	997	2409															
2005	Hispanic	1350	979	2329															
2004	Hispanic	1374	884	2258															
2003	Hispanic	1328	884	2212															
2002	Hispanic	1264	835	2099															
2001	Hispanic	1228	837	2065															
2000	Hispanic	1238	830	2068															
1999	Hispanic	1141	764	1905															
2012	Asian	575	590	1165															
2011	Asian	587	701	1288															
2010	Asian	657	701	1358															
2009	Asian	708	758	1466															
2008	Asian	788	904	1692															
2007	Asian	810	954	1764															
2006	Asian	760	928	1688															
2005	Asian	745	923	1668															
2004	Asian	684	822	1506															
2003	Asian	677	758	1435															
2002	Asian	621	662	1283															
2001	Asian	652	647	1299															
2000	Asian	670	651	1321															
1999	Asian	630	634	1264															
2012	Black	993	893	1886															
2011	Black	1005	943	1948															
2010	Black	1084	945	2029															
2009	Black	1231	1181	2412															
2008	Black	1403	1387	2790															
2007	Black	1463	1437	2900															
2006	Black	1501	1448	2949															
2005	Black	1523	1464	2987															
2004	Black	1512	1426	2938															
2003	Black	1495	1424	2919															
2002	Black	1497	1381	2878															
2001	Black	1535	1415	2950															
2000	Black	1519	1465	2984															
1999	Black	1533	1420	2953															
