Year,Coal,Natural Gas,Petroleum,Captured Energy,Biomass,Nuclear
1775,0,0,0,0,0.249,0
1785,0,0,0,0,0.31,0
1795,0,0,0,0,0.402,0
1805,0,0,0,0,0.537,0
1815,0,0,0,0,0.714,0
1825,0,0,0,0,0.96,0
1835,0,0,0,0,1.305,0
1845,0,0,0,0,1.757,0
1850,0.219,0,0,0,2.138,0
1855,0.421,0,0,0,2.389,0
1860,0.518,0,0.003,0,2.641,0
1865,0.632,0,0.01,0,2.767,0
1870,1.048,0,0.011,0,2.893,0
1875,1.44,0,0.011,0,2.872,0
1880,2.054,0,0.096,0,2.851,0
1885,2.84,0.082,0.04,0,2.683,0
1890,4.062,0.257,0.156,0.022,2.515,0
1895,4.95,0.147,0.168,0.09,2.306,0
1900,6.841,0.252,0.229,0.25,2.015,0
1905,10.001,0.372,0.61,0.386,1.843,0
1910,12.714,0.54,1.007,0.539,1.765,0
1915,13.294,0.673,1.418,0.659,1.688,0
1920,15.504,0.813,2.676,0.738,1.61,0
1925,14.706,1.191,4.28,0.668,1.533,0
1930,13.639,1.932,5.897,0.752,1.455,0
1935,10.634,1.919,5.675,0.806,1.397,0
1940,12.535,2.665,7.76,0.88,1.358,0
1945,15.972,3.871,10.11,1.442,1.261,0
1949,11.980905,5.145142,11.882722,1.424722,1.549262,0
1950,12.347109,5.968371,13.315484,1.415411,1.562307,0
1951,12.552996,7.048518,14.428043,1.423795,1.534669,0
1952,11.306479,7.549621,14.955682,1.465812,1.474369,0
1953,11.372684,7.906645,15.555829,1.412859,1.418601,0
1954,9.714667,8.330202,15.839176,1.359772,1.394327,0
1955,11.167259,8.997935,17.254955,1.359844,1.424143,0
1956,11.349723,9.613975,17.937473,1.434711,1.415871,0
1957,10.820631,10.190753,17.931667,1.515613,1.333581,0.000112
1958,9.533287,10.663199,18.526937,1.591967,1.323123,0.001915
1959,9.518353,11.717422,19.32265,1.548465,1.352874,0.002187
1960,9.837785,12.385366,19.91923,1.608334,1.31987,0.006026
1961,9.623351,12.926392,20.216387,1.657464,1.294762,0.019678
1962,9.906454,13.730841,21.048981,1.817202,1.300242,0.026394
1963,10.412538,14.403306,21.700828,1.773115,1.323316,0.038147
1964,10.964385,15.28785,22.301257,1.888446,1.336802,0.039819
1965,11.580608,15.768667,23.24568,2.061055,1.334761,0.043164
1966,12.14308,16.995332,24.400523,2.063477,1.368985,0.064158
1967,11.91375,17.944788,25.283661,2.349964,1.340249,0.088456
1968,12.330677,19.209656,26.979447,2.353161,1.419495,0.141534
1969,12.38154,20.677984,28.338336,2.654405,1.440487,0.153722
1970,12.264528,21.794707,29.520695,2.639059,1.430962,0.239347
1971,11.598411,22.469052,30.56129,2.82989,1.432323,0.412939
1972,12.076917,22.69819,32.946738,2.878944,1.503065,0.583752
1973,12.97149,22.512399,34.837435,2.88187,1.529068,0.910177
1974,12.662878,21.732488,33.45366,3.20219,1.539657,1.272083
1975,12.662786,19.947883,32.732323,3.188386,1.498734,1.899798
1976,13.584067,20.345426,35.177782,3.013778,1.713373,2.111121
1977,13.922103,19.930513,37.12398,2.370634,1.838332,2.701762
1978,13.765575,20.0004,37.962821,2.967834,2.037605,3.024126
1979,15.039586,20.665817,37.122274,2.970948,2.151906,2.775827
1980,15.422809,20.235459,34.20452,2.952843,2.4755,2.739169
1981,15.907526,19.747309,31.932206,2.817406,2.596283,3.007589
1982,15.321581,18.356222,30.232226,3.316185,2.663452,3.131148
1983,15.894442,17.220836,30.052216,3.591198,2.904414,3.202549
1984,17.070622,18.393613,31.053237,3.466744,2.971119,3.552531
1985,17.478428,17.703482,30.924732,3.067784,3.016233,4.075563
1986,17.260405,16.591364,32.19826,3.179046,2.932094,4.380109
1987,18.008451,17.639801,32.863733,2.746923,2.874884,4.753933
1988,18.846312,18.448393,34.222795,2.440706,3.016049,5.586968
1989,19.069762,19.601689,34.209296,3.075876,3.159358,5.602161
1990,19.172635,19.603168,33.551623,3.305565,2.73511,6.10435
1991,18.99167,20.032957,32.846032,3.286719,2.781798,6.422132
1992,19.122471,20.713632,33.524957,2.889674,2.931678,6.479206
1993,19.835148,21.228902,33.744546,3.174333,2.908172,6.410499
1994,19.909463,21.728065,34.560541,2.960583,3.027535,6.693877
1995,20.088727,22.671138,34.43837,3.459341,3.101142,7.075436
1996,21.001914,23.084647,35.67535,3.856872,3.156806,7.086674
1997,21.445411,23.222717,36.158897,3.910322,3.10522,6.596992
1998,21.655744,22.830226,36.815915,3.565409,2.927489,7.067809
1999,21.622544,22.909227,37.837705,3.552327,2.963291,7.610256
2000,22.579528,23.823978,38.261705,3.098124,3.008228,7.862349
2001,21.914268,22.772558,38.18551,2.540203,2.622347,8.028853
2002,21.903989,23.510081,38.224147,3.028521,2.700598,8.145429
2003,22.320928,22.830642,38.811443,3.176232,2.807132,7.958858
2004,22.466195,22.923061,40.29178,3.072751,3.009666,8.221985
2005,22.796543,22.565364,40.388116,3.125178,3.116765,8.16081
2006,22.44716,22.238738,39.955351,3.382414,3.266757,8.215414
2007,22.749466,23.662759,39.773964,3.048323,3.474262,8.455364
2008,22.385196,23.842954,37.279917,3.337857,3.848548,8.427297
2009,19.692203,23.41594,35.403266,3.687903,3.9117,8.356019
2010,20.84952,24.256183,36.009541,3.795848,4.294066,8.434433
2011,19.643039,24.842548,35.282604,4.724236,4.411164,8.259432
